timestamp,fila_tamanho,detectados_total,movidos_total,ignorados_total,detectados_por_intervalo,movidos_por_intervalo,ignorados_por_intervalo
2026-03-03T03:38:45.387493,0,0,0,0,0,0,0
2026-03-03T03:38:47.501121,0,0,0,0,0,0,0
2026-03-03T03:38:49.528776,0,0,0,0,0,0,0
2026-03-03T03:38:51.657127,0,0,0,0,0,0,0
2026-03-03T03:38:53.782532,0,0,0,0,0,0,0
2026-03-03T03:38:55.916582,0,0,0,0,0,0,0
2026-03-03T03:38:58.032258,0,0,0,0,0,0,0
2026-03-03T03:39:00.141591,0,0,0,0,0,0,0
2026-03-03T03:39:02.282372,0,0,0,0,0,0,0
2026-03-03T03:39:04.391517,0,0,0,0,0,0,0
2026-03-03T03:39:06.501300,0,0,0,0,0,0,0
2026-03-03T03:39:08.516516,0,0,0,0,0,0,0
2026-03-03T03:39:10.626581,0,0,0,0,0,0,0
2026-03-03T03:39:12.767982,0,0,0,0,0,0,0
2026-03-03T03:39:14.907443,0,0,0,0,0,0,0
2026-03-03T03:39:17.016679,0,0,0,0,0,0,0
2026-03-03T03:39:19.126102,0,0,0,0,0,0,0
2026-03-03T03:39:21.126171,0,0,0,0,0,0,0
2026-03-03T03:39:23.232371,0,0,0,0,0,0,0
2026-03-03T03:39:25.345484,0,0,0,0,0,0,0
2026-03-03T03:39:27.361296,0,0,0,0,0,0,0
2026-03-03T03:39:29.501139,0,0,0,0,0,0,0
2026-03-03T03:39:31.626012,0,0,0,0,0,0,0
2026-03-03T03:39:33.766677,0,0,0,0,0,0,0
2026-03-03T03:39:35.874312,0,0,0,0,0,0,0
2026-03-03T03:39:37.985526,0,0,0,0,0,0,0
2026-03-03T03:39:39.986150,0,0,0,0,0,0,0
2026-03-03T03:39:42.094887,0,0,0,0,0,0,0
2026-03-03T03:39:44.204139,0,0,0,0,0,0,0
2026-03-03T03:39:46.220654,0,0,0,0,0,0,0
2026-03-03T03:39:48.360529,0,0,0,0,0,0,0
2026-03-03T03:39:50.497730,0,0,0,0,0,0,0
2026-03-03T03:39:52.501096,0,0,0,0,0,0,0
2026-03-03T03:39:54.610956,0,0,0,0,0,0,0
2026-03-03T03:39:56.721174,0,0,0,0,0,0,0
2026-03-03T03:39:58.860605,0,0,0,0,0,0,0
2026-03-03T03:40:00.970040,0,0,0,0,0,0,0
2026-03-03T03:40:03.079403,0,0,0,0,0,0,0
2026-03-03T03:40:05.095321,0,0,0,0,0,0,0
2026-03-03T03:40:07.198159,0,0,0,0,0,0,0
2026-03-03T03:40:09.204222,0,0,0,0,0,0,0
2026-03-03T03:40:11.340890,0,0,0,0,0,0,0
2026-03-03T03:40:13.454521,0,0,0,0,0,0,0
2026-03-03T03:40:15.563703,0,0,0,0,0,0,0
2026-03-03T03:40:17.563732,0,0,0,0,0,0,0
2026-03-03T03:40:19.673057,0,0,0,0,0,0,0
2026-03-03T03:40:21.782427,0,0,0,0,0,0,0
2026-03-03T03:40:23.797867,0,0,0,0,0,0,0
2026-03-03T03:40:25.938448,0,0,0,0,0,0,0
2026-03-03T03:40:28.064085,0,0,0,0,0,0,0
2026-03-03T03:40:30.064645,0,0,0,0,0,0,0
2026-03-03T03:40:32.157317,0,0,0,0,0,0,0
2026-03-03T03:40:34.224794,0,0,0,0,0,0,0
2026-03-03T03:40:36.264410,0,0,0,0,0,0,0
2026-03-03T03:40:38.372347,0,0,0,0,0,0,0
2026-03-03T03:40:40.375818,0,0,0,0,0,0,0
2026-03-03T03:40:42.421509,0,0,0,0,0,0,0
2026-03-03T03:40:44.545488,0,0,0,0,0,0,0
2026-03-03T03:40:46.548917,0,0,0,0,0,0,0
2026-03-03T03:40:48.556337,0,0,0,0,0,0,0
2026-03-03T03:40:50.673440,0,0,0,0,0,0,0
2026-03-03T03:40:52.796043,0,0,0,0,0,0,0
2026-03-03T03:40:54.796658,0,0,0,0,0,0,0
2026-03-03T03:40:56.811418,0,0,0,0,0,0,0
2026-03-03T03:40:58.813467,0,0,0,0,0,0,0
2026-03-03T03:41:00.965144,0,0,0,0,0,0,0
2026-03-03T03:41:03.093420,0,0,0,0,0,0,0
2026-03-03T03:41:05.094848,0,0,0,0,0,0,0
2026-03-03T03:41:07.187113,0,0,0,0,0,0,0
2026-03-03T03:41:09.220505,0,0,0,0,0,0,0
2026-03-03T03:41:11.324812,0,0,0,0,0,0,0
2026-03-03T03:41:13.390006,0,0,0,0,0,0,0
2026-03-03T03:41:15.399367,0,0,0,0,0,0,0
2026-03-03T03:41:17.407493,0,0,0,0,0,0,0
2026-03-03T03:41:19.535830,0,0,0,0,0,0,0
2026-03-03T03:41:21.561048,0,0,0,0,0,0,0
2026-03-03T03:54:02.642270,0,0,0,0,0,0,0
2026-03-03T03:54:04.924394,0,0,0,0,0,0,0
2026-03-03T03:54:08.640608,0,0,0,0,0,0,0
2026-03-03T03:54:10.829721,0,0,0,0,0,0,0
2026-03-03T03:54:13.128137,0,0,0,0,0,0,0
2026-03-03T03:54:15.351263,0,0,0,0,0,0,0
2026-03-03T03:54:17.641784,0,0,0,0,0,0,0
2026-03-03T03:54:19.876033,0,0,0,0,0,0,0
2026-03-03T03:54:22.157270,0,0,0,0,0,0,0
2026-03-03T03:54:24.455545,0,0,0,0,0,0,0
2026-03-03T03:54:26.705026,0,0,0,0,0,0,0
2026-03-03T03:54:29.048605,0,0,0,0,0,0,0
2026-03-03T03:54:52.626269,0,0,0,0,0,0,0
2026-03-03T03:54:54.922765,0,0,0,0,0,0,0
2026-03-03T03:55:11.641281,0,0,0,0,0,0,0
2026-03-03T03:55:13.922987,0,0,1,0,0,1,0
2026-03-03T03:55:16.204294,0,0,1,0,0,0,0
2026-03-03T03:55:18.486157,0,0,1,0,0,0,0
2026-03-03T03:55:20.814756,0,0,1,0,0,0,0
2026-03-03T03:55:23.080609,0,0,1,0,0,0,0
2026-03-03T03:55:25.360459,0,0,1,0,0,0,0
2026-03-03T03:55:27.610491,0,0,1,0,0,0,0
2026-03-03T03:55:29.844818,0,0,1,0,0,0,0
2026-03-03T03:55:32.095647,0,0,1,0,0,0,0
2026-03-03T03:55:34.345141,0,0,1,0,0,0,0
2026-03-03T03:55:36.626665,0,0,1,0,0,0,0
2026-03-03T03:55:38.876009,0,0,1,0,0,0,0
2026-03-03T03:55:41.110182,0,0,1,0,0,0,0
2026-03-03T03:55:43.346038,0,0,1,0,0,0,0
2026-03-03T03:55:45.604512,0,0,1,0,0,0,0
2026-03-03T03:55:47.875774,0,0,1,0,0,0,0
2026-03-03T03:55:50.103837,0,0,1,0,0,0,0
2026-03-03T03:55:52.360194,0,0,1,0,0,0,0
2026-03-03T03:55:54.626101,0,0,1,0,0,0,0
2026-03-03T03:55:56.861055,0,0,1,0,0,0,0
2026-03-03T03:55:59.094496,0,0,1,0,0,0,0
2026-03-03T03:56:01.360773,0,0,1,0,0,0,0
2026-03-03T03:56:03.595702,0,0,1,0,0,0,0
2026-03-03T03:56:15.530543,0,0,1,0,0,0,0
2026-03-03T03:56:17.828952,0,0,2,0,0,1,0
2026-03-03T03:56:20.098565,0,0,2,0,0,0,0
2026-03-03T03:56:22.454097,0,0,2,0,0,0,0
2026-03-03T03:56:24.739133,0,0,2,0,0,0,0
2026-03-03T03:56:27.063677,0,0,2,0,0,0,0
2026-03-03T03:56:29.376910,0,0,2,0,0,0,0
2026-03-03T03:56:31.614215,0,0,2,0,0,0,0
2026-03-03T03:56:33.844815,0,0,2,0,0,0,0
2026-03-03T03:56:36.126380,0,0,2,0,0,0,0
2026-03-03T03:56:38.512414,0,0,2,0,0,0,0
2026-03-03T03:56:40.819987,0,0,2,0,0,0,0
2026-03-03T16:05:47.964616,0,0,0,0,0,0,0
2026-03-03T16:05:50.227153,0,0,0,0,0,0,0
2026-03-03T16:05:52.764329,0,0,0,0,0,0,0
2026-03-03T16:05:54.779597,0,0,0,0,0,0,0
2026-03-03T16:05:56.866150,0,0,0,0,0,0,0
2026-03-03T16:05:59.011598,0,0,0,0,0,0,0
2026-03-03T16:06:01.080342,0,0,0,0,0,0,0
2026-03-03T16:06:03.186293,0,0,0,0,0,0,0
2026-03-03T16:06:05.287212,0,0,0,0,0,0,0
2026-03-03T16:06:07.358293,0,0,0,0,0,0,0
2026-03-03T16:06:09.445792,0,0,0,0,0,0,0
2026-03-03T16:06:11.505040,0,0,0,0,0,0,0
2026-03-03T16:06:13.659277,0,0,0,0,0,0,0
2026-03-03T16:06:15.746346,0,0,0,0,0,0,0
2026-03-03T16:06:17.770480,0,0,0,0,0,0,0
2026-03-03T16:06:20.031353,0,0,0,0,0,0,0
2026-03-03T16:06:22.309283,0,0,0,0,0,0,0
2026-03-03T16:06:32.554755,0,0,0,0,0,0,0
2026-03-03T16:06:34.853271,0,0,1,0,0,1,0
2026-03-03T16:06:37.116748,0,0,1,0,0,0,0
2026-03-03T16:06:39.364487,0,0,1,0,0,0,0
2026-03-03T16:06:42.097824,0,0,1,0,0,0,0
